Username,Count
donant,44
F4133.peer.apotheken.kg,39
F1792.farmacia.pizio.sas,39
F11526.farmacia.della.corte,29
F4159.apotheke.von.zieglauer,27
F11517.farmacia.tafuri.sas,20
F14114.farmacia..defilippo,13
F5497.farmacia.ai.gemelli.srl,13
F11107.farmacia.padula,10
F7213.antica.farmacia.lugaresi.snc,7
davide.giudici,6
F20035.farmacia.papa.giovanni,5
F14049.farmacia.raspa.dr.stefano,4
F2001.farmacia.morandi.dr.simone,4
F12539.farmacia.dr.a.gemmato,4
F9961.farmacia.internazionale,3
F17914.farmacia.di.castelcucco,1
TOTAL,268
